time,animal,pellets,motorTurns,battery,delay,numJamClears
1648677127,326,104,314,03,60,experimental
1648679302,326,105,951,03,120,experimental
1648679952,326,106,111,03,240,experimental
1648680990,326,107,273,03,300,experimental
1648681419,326,108,95,03,60,experimental
1648681856,326,109,111,03,180,experimental
1648682728,326,110,55,03,180,experimental
1648683785,326,111,422,03,180,experimental
1648683921,326,112,09,03,180,experimental
1648684823,326,113,244,03,15,experimental
1648694388,326,114,3729,03,1800,experimental
1648701661,326,115,3514,03,60,experimental
1648702111,326,116,15,03,240,experimental
1648706819,326,117,2176,03,180,experimental
1648710362,326,118,1556,03,240,experimental
1648711317,326,119,361,03,60,experimental
1648713753,326,120,1000,03,240,experimental
1648714011,326,121,36,03,15,experimental
1648715749,326,122,671,03,240,experimental
1648716293,326,01,01,04,01,experimental
1648716467,326,02,54,04,60,experimental
1648721081,326,03,2145,04,300,experimental
1648721775,326,04,218,04,240,experimental
1648721853,326,05,30,04,15,experimental
1648723888,326,06,920,04,180,experimental
1648723914,326,07,04,04,15,experimental
1648724100,326,08,28,04,120,experimental
1648724440,326,09,09,04,300,experimental
1648724794,326,10,16,04,300,experimental
1648725068,326,11,08,04,240,experimental
1648726053,326,12,363,04,240,experimental
1648726693,326,13,285,04,60,experimental
1648727087,326,14,68,04,240,experimental
1648727858,326,15,320,04,120,experimental
1648728534,326,16,275,04,120,experimental
1648729676,326,17,296,04,300,experimental
1648730156,326,18,232,04,15,experimental
1648731708,326,19,126,04,240,experimental
1648735466,326,20,945,04,300,experimental
1648738061,326,21,164,04,300,experimental
1648740064,326,22,24,04,1800,experimental
1648755540,326,23,1046,04,15,experimental
1648755558,326,24,01,04,15,experimental
1648755570,326,25,02,04,15,experimental
1648755571,326,26,01,04,15,experimental
1648755576,326,27,01,04,15,experimental
1648755593,326,28,02,04,15,experimental
1648755604,326,29,02,04,15,experimental
1648765884,326,30,634,04,180,experimental
1648766814,326,31,61,04,180,experimental
1648800632,326,32,2126,02,180,experimental
1648800963,326,33,22,02,180,experimental
