time,ID,count,protocol
1670353911,00,832,locomotor
1670353972,00,833,locomotor
1670353980,00,834,locomotor
1670353992,00,835,locomotor
1670354000,00,836,locomotor
1670354055,00,837,locomotor
1670354066,00,838,locomotor
1670354119,00,839,locomotor
1670354136,00,840,locomotor
1670354144,00,841,locomotor
1670354156,00,842,locomotor
1670354173,00,843,locomotor
1670354180,00,844,locomotor
1670354212,00,845,locomotor
1670354220,00,846,locomotor
1670354260,00,847,locomotor
1670354271,00,848,locomotor
1670354283,00,849,locomotor
1670354329,00,850,locomotor
1670354350,00,851,locomotor
1670354378,00,852,locomotor
1670354386,00,853,locomotor
1670354397,00,854,locomotor
1670354412,00,855,locomotor
1670354438,00,856,locomotor
1670354445,00,857,locomotor
1670354451,00,858,locomotor
1670354493,00,859,locomotor
1670354502,00,860,locomotor
1670354540,00,861,locomotor
1670354546,00,862,locomotor
1670354555,00,863,locomotor
1670354585,00,864,locomotor
1670354684,00,865,locomotor
1670354705,00,866,locomotor
1670354717,00,867,locomotor
1670354727,00,868,locomotor
1670354734,00,869,locomotor
1670354743,00,870,locomotor
1670354773,00,871,locomotor
1670354779,00,872,locomotor
1670354879,00,873,locomotor
1670354910,00,874,locomotor
1670354920,00,875,locomotor
1670354935,00,876,locomotor
1670354948,00,877,locomotor
1670355108,00,878,locomotor
1670355120,00,879,locomotor
1670355147,00,880,locomotor
1670355210,00,881,locomotor
1670355219,00,882,locomotor
1670355238,00,883,locomotor
1670355244,00,884,locomotor
1670355253,00,885,locomotor
1670355260,00,886,locomotor
1670355292,00,887,locomotor
1670355299,00,888,locomotor
1670355307,00,889,locomotor
1670355315,00,890,locomotor
1670355322,00,891,locomotor
1670355343,00,892,locomotor
1670355405,00,893,locomotor
1670355412,00,894,locomotor
1670355427,00,895,locomotor
1670355435,00,896,locomotor
1670355454,00,897,locomotor
1670355461,00,898,locomotor
1670355469,00,899,locomotor
1670355480,00,900,locomotor
1670355490,00,901,locomotor
1670355500,00,902,locomotor
1670355507,00,903,locomotor
1670355515,00,904,locomotor
