1670084714,00,693,locomotor
1670084726,00,694,locomotor
1670084734,00,695,locomotor
1670084750,00,696,locomotor
1670084771,00,697,locomotor
1670084794,00,698,locomotor
1670084807,00,699,locomotor
1670084895,00,700,locomotor
1670084901,00,701,locomotor
1670084912,00,702,locomotor
1670084922,00,703,locomotor
1670084933,00,704,locomotor
1670084943,00,705,locomotor
1670084949,00,706,locomotor
1670084955,00,707,locomotor
1670084967,00,708,locomotor
1670084974,00,709,locomotor
1670084984,00,710,locomotor
1670085003,00,711,locomotor
1670085014,00,712,locomotor
1670085035,00,713,locomotor
1670085044,00,714,locomotor
1670085051,00,715,locomotor
1670085057,00,716,locomotor
1670085115,00,717,locomotor
1670085147,00,718,locomotor
1670085161,00,719,locomotor
1670085182,00,720,locomotor
1670085188,00,721,locomotor
1670085280,00,722,locomotor
1670085288,00,723,locomotor
1670085294,00,724,locomotor
1670085310,00,725,locomotor
1670085329,00,726,locomotor
1670085341,00,727,locomotor
1670085372,00,728,locomotor
1670085380,00,729,locomotor
1670085395,00,730,locomotor
1670085417,00,731,locomotor
1670085435,00,732,locomotor
1670085449,00,733,locomotor
1670085495,00,734,locomotor
1670085506,00,735,locomotor
1670085513,00,736,locomotor
1670085530,00,737,locomotor
1670085536,00,738,locomotor
1670085542,00,739,locomotor
1670085553,00,740,locomotor
1670085607,00,741,locomotor
1670085662,00,742,locomotor
1670085669,00,743,locomotor
1670085677,00,744,locomotor
1670085683,00,745,locomotor
1670085728,00,746,locomotor
1670085782,00,747,locomotor
1670085789,00,748,locomotor
1670085803,00,749,locomotor
1670085857,00,750,locomotor
1670085864,00,751,locomotor
1670085879,00,752,locomotor
1670085893,00,753,locomotor
1670085904,00,754,locomotor
1670085920,00,755,locomotor
1670085926,00,756,locomotor
1670085964,00,757,locomotor
1670085971,00,758,locomotor
1670085983,00,759,locomotor
1670086020,00,760,locomotor
1670086026,00,761,locomotor
1670086047,00,762,locomotor
1670086079,00,763,locomotor
1670086130,00,764,locomotor
1670086136,00,765,locomotor
1670086143,00,766,locomotor
1670086172,00,767,locomotor
1670086179,00,768,locomotor
1670086237,00,769,locomotor
1670086260,00,770,locomotor
1670086266,00,771,locomotor
1670086276,00,772,locomotor
1670086294,00,773,locomotor
1670086316,00,774,locomotor
1670086324,00,775,locomotor
1670086330,00,776,locomotor
1670086343,00,777,locomotor
1670086384,00,778,locomotor
1670086417,00,779,locomotor
1670086424,00,780,locomotor
1670086433,00,781,locomotor
1670086441,00,782,locomotor
1670086447,00,783,locomotor
1670086454,00,784,locomotor
1670086478,00,785,locomotor
1670086496,00,786,locomotor
1670086530,00,787,locomotor
1670086538,00,788,locomotor
1670086545,00,789,locomotor
1670086554,00,790,locomotor
1670086569,00,791,locomotor
1670086583,00,792,locomotor
1670086609,00,793,locomotor
1670086626,00,794,locomotor
1670086633,00,795,locomotor
1670086639,00,796,locomotor
1670086645,00,797,locomotor
1670086657,00,798,locomotor
1670086663,00,799,locomotor
1670086718,00,800,locomotor
1670086738,00,801,locomotor
1670086751,00,802,locomotor
1670086757,00,803,locomotor
1670086781,00,804,locomotor
1670086787,00,805,locomotor
1670086804,00,806,locomotor
1670086810,00,807,locomotor
1670086859,00,808,locomotor
1670086872,00,809,locomotor
1670086880,00,810,locomotor
1670086897,00,811,locomotor
1670086911,00,812,locomotor
1670086917,00,813,locomotor
1670086923,00,814,locomotor
1670086929,00,815,locomotor
1670086972,00,816,locomotor
1670086978,00,817,locomotor
1670087073,00,818,locomotor
1670087086,00,819,locomotor
1670087092,00,820,locomotor
1670087099,00,821,locomotor
1670087108,00,822,locomotor
1670087118,00,823,locomotor
1670087125,00,824,locomotor
1670087131,00,825,locomotor
1670087203,00,826,locomotor
1670087225,00,827,locomotor
1670087290,00,828,locomotor
1670087340,00,829,locomotor
1670087402,00,830,locomotor
1670087422,00,831,locomotor
1670087436,00,832,locomotor
1670087481,00,833,locomotor
1670087488,00,834,locomotor
1670087494,00,835,locomotor
1670087535,00,836,locomotor
1670087542,00,837,locomotor
1670087551,00,838,locomotor
1670087560,00,839,locomotor
1670087568,00,840,locomotor
1670087577,00,841,locomotor
1670087592,00,842,locomotor
1670087609,00,843,locomotor
1670087631,00,844,locomotor
1670087637,00,845,locomotor
1670087645,00,846,locomotor
1670087658,00,847,locomotor
1670087670,00,848,locomotor
1670087680,00,849,locomotor
1670087691,00,850,locomotor
1670087703,00,851,locomotor
1670087709,00,852,locomotor
1670087721,00,853,locomotor
1670087727,00,854,locomotor
1670087743,00,855,locomotor
1670087750,00,856,locomotor
1670087763,00,857,locomotor
1670087786,00,858,locomotor
1670087793,00,859,locomotor
1670087800,00,860,locomotor
1670087807,00,861,locomotor
1670087816,00,862,locomotor
1670087823,00,863,locomotor
1670087835,00,864,locomotor
1670087845,00,865,locomotor
1670087851,00,866,locomotor
1670087866,00,867,locomotor
1670087877,00,868,locomotor
1670087893,00,869,locomotor
1670087907,00,870,locomotor
1670087946,00,871,locomotor
1670087952,00,872,locomotor
1670087971,00,873,locomotor
1670087977,00,874,locomotor
1670087990,00,875,locomotor
1670088007,00,876,locomotor
1670088015,00,877,locomotor
1670088033,00,878,locomotor
1670088042,00,879,locomotor
1670088050,00,880,locomotor
1670088059,00,881,locomotor
1670088121,00,882,locomotor
1670088149,00,883,locomotor
1670088156,00,884,locomotor
1670088162,00,885,locomotor
1670088208,00,886,locomotor
1670088219,00,887,locomotor
1670088225,00,888,locomotor
1670088279,00,889,locomotor
1670088306,00,890,locomotor
1670088318,00,891,locomotor
1670088330,00,892,locomotor
1670088355,00,893,locomotor
1670088367,00,894,locomotor
1670088375,00,895,locomotor
1670088393,00,896,locomotor
1670088399,00,897,locomotor
1670088405,00,898,locomotor
1670088411,00,899,locomotor
1670088424,00,900,locomotor
1670088440,00,901,locomotor
1670088449,00,902,locomotor
1670088467,00,903,locomotor
1670088508,00,904,locomotor
1670088514,00,905,locomotor
1670088520,00,906,locomotor
1670088527,00,907,locomotor
1670088533,00,908,locomotor
1670088543,00,909,locomotor
1670088559,00,910,locomotor
1670088565,00,911,locomotor
1670088583,00,912,locomotor
1670088599,00,913,locomotor
1670088613,00,914,locomotor
1670088619,00,915,locomotor
1670088688,00,916,locomotor
1670088704,00,917,locomotor
1670088728,00,918,locomotor
1670088770,00,919,locomotor
1670088842,00,920,locomotor
1670088866,00,921,locomotor
1670088874,00,922,locomotor
1670088966,00,923,locomotor
1670088972,00,924,locomotor
1670088980,00,925,locomotor
1670089038,00,926,locomotor
1670089045,00,927,locomotor
1670089050,00,928,locomotor
1670089065,00,929,locomotor
1670089089,00,930,locomotor
1670089101,00,931,locomotor
1670089138,00,932,locomotor
1670089230,00,933,locomotor
1670089273,00,934,locomotor
1670089284,00,935,locomotor
1670089293,00,936,locomotor
1670089334,00,937,locomotor
1670089352,00,938,locomotor
1670089378,00,939,locomotor
1670089402,00,940,locomotor
1670089408,00,941,locomotor
1670089422,00,942,locomotor
1670089430,00,943,locomotor
1670089436,00,944,locomotor
1670089494,00,945,locomotor
1670089537,00,946,locomotor
1670089549,00,947,locomotor
1670089572,00,948,locomotor
1670089604,00,949,locomotor
1670089617,00,950,locomotor
1670089623,00,951,locomotor
1670089648,00,952,locomotor
1670089686,00,953,locomotor
1670089704,00,954,locomotor
1670089711,00,955,locomotor
1670089728,00,956,locomotor
1670089752,00,957,locomotor
1670089778,00,958,locomotor
1670089805,00,959,locomotor
1670089823,00,960,locomotor
1670089834,00,961,locomotor
1670089903,00,962,locomotor
1670089940,00,963,locomotor
1670089961,00,964,locomotor
1670089968,00,965,locomotor
1670089980,00,966,locomotor
1670089990,00,967,locomotor
1670089996,00,968,locomotor
1670090011,00,969,locomotor
1670090069,00,970,locomotor
1670090117,00,971,locomotor
1670090175,00,972,locomotor
1670090182,00,973,locomotor
1670090193,00,974,locomotor
1670090208,00,975,locomotor
1670090233,00,976,locomotor
1670090245,00,977,locomotor
1670090269,00,978,locomotor
1670090276,00,979,locomotor
1670090330,00,980,locomotor
1670090338,00,981,locomotor
1670090344,00,982,locomotor
1670090356,00,983,locomotor
1670090393,00,984,locomotor
1670090414,00,985,locomotor
1670090423,00,986,locomotor
1670090430,00,987,locomotor
1670090447,00,988,locomotor
1670090457,00,989,locomotor
1670090503,00,990,locomotor
1670090510,00,991,locomotor
1670090535,00,992,locomotor
1670090541,00,993,locomotor
1670090571,00,994,locomotor
1670090582,00,995,locomotor
1670090598,00,996,locomotor
1670090606,00,997,locomotor
1670090614,00,998,locomotor
1670090659,00,999,locomotor
